datafile,description
DO234199.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BR;ALK mut;CREBBP mut;FGFR1 mut;IDH2 mut;KDM5A mut;USP6 mut;CCND1 amp;CCND3 amp;TERT amp;DAXX trunc;KMT2C trunc;PIK3R1 trunc;SMAD4 hetdel & mis;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234449.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=INVDUP;EGFR mut;ERBB3 mut;MYCN mut;NTRK3 mut;EGFR amp;ERBB2 amp;MDM4 amp;NTRK1 amp;APC trunc;TP53 hetdel & mis
DO234253.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=INVDUP;GNAS mut;MLLT4 mut;MYO5A mut;FGFR2 amp;RET amp;TET1 amp;APC trunc;APC hetdel & mis;TP53 hetdel & mis
7009.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=QUIET;IDH1 mut;ARID1A trunc
7013.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;EGFR mut;BRAF amp;CDK4 amp;CDK6 amp;EGFR amp;MET amp;TP53 hetdel & mis
DO234369.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=PYRGO;NRG1 mut;CCND3 amp;CDK6 amp;JAK2 amp;NKX2-1 amp;TERT amp;ATM trunc;PBRM1 hetdel & mis;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
702_T1_34_24852.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;HRAS mut;ARID1A trunc;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
702_T1_33_24855.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;ERBB2 mut;ETV6 mut;CDKN2A trunc;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
702_T2_35_24858.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;ARID1A trunc;CYLD trunc
702_T2_34_24861.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;SETBP1 mut;STAG2 homdel
DO234162.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=PYRGO;CARD11 mut;NFKB2 mut;NUP214 mut;BRD3 amp;CCND3 amp;FGFR1 amp;KRAS amp;NOTCH1 amp;PIK3CA amp;MAP2K4 trunc;DNM2 hetdel & mis;TP53 hetdel & mis;KDM6A homdel
DO234162.2.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=PYRGO;CARD11 mut;NFKB2 mut;NUP214 mut;BRD3 amp;CCND3 amp;EGFR amp;FGFR1 amp;JAK2 amp;KRAS amp;NOTCH1 amp;PIK3CA amp;MAP2K4 trunc;DNM2 hetdel & mis;FANCF hetdel & mis;TP53 hetdel & mis
7030.json,tumor_type=LUAD;dataset=TCGA;organ=Lung;lineage=Alveolar epithelium;cluster=QUIET;KRAS mut
7075.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=CHROMOTHRIPSIS;
7079.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=QUIET;
7086.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=INVDUP;BCL11A mut;CCND1 amp;MYC amp;TP53 trunc;KDM6A homdel
7090.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=BR;FGFR1 amp;MYC amp;CDKN2A trunc
DO234318.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=BRD;CCNE1 mut;BRD3 amp;BRD4 amp;CCNE1 amp;MDM4 amp;NOTCH1 amp;NTRK1 amp;PIK3CA amp;RET amp;SOX2 amp;TET1 amp;CDKN2A trunc;TP53 trunc;ATM hetdel & mis;SMAD4 hetdel & mis;XPA hetdel & mis
DO50390.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=TRANSLOCATION;FOXO1 mut;NOTCH1 mut;CHEK2 trunc;NOTCH2 trunc;CHEK2 hetdel & mis;NOTCH1 hetdel & mis;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
7100.json,tumor_type=HNSC;subtype=HNSC_hpv+;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=CHROMOTHRIPSIS;ALK mut;PIK3CA amp;SOX2 amp;EP300 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO50401.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BR;RET mut;CCND1 amp;EGFR amp;ERBB2 amp;TP53 trunc;TET2 hetdel & mis
DO234341.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=INVDUP;MAF mut;MYH11 mut;USP6 mut;BRD3 amp;CCND1 amp;ERBB2 amp;FGFR1 amp;MYC amp;NOTCH1 amp;NTRK1 amp;TERT amp;TP53 trunc;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
7136.json,tumor_type=STAD;dataset=TCGA;organ=Stomach;lineage=Gastric columnar epithelium;cluster=BR;AKT2 amp;CDKN2A trunc;ATRX homdel;KDM6A homdel;SMAD4 homdel
7139.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=BFB;IL7R mut;MYC mut;RBM15 mut;ROS1 mut;FGFR1 amp;MYC amp;PIK3CA amp;SOX2 amp;KDM6A trunc;NOTCH1 trunc;SMARCA4 trunc;TP53 trunc
7143.json,tumor_type=LUAD;dataset=TCGA;organ=Lung;lineage=Alveolar epithelium;cluster=RT;TERT amp;ARID1A homdel;ARID1B homdel;ARID2 homdel;ATM homdel;ATR homdel;AXIN1 homdel;BAP1 homdel;BCOR homdel;BLM homdel;BMPR1A homdel;BRCA1 homdel;BRCA2 homdel;BRIP1 homdel;CASP8 homdel;CBLB homdel;CBLC homdel;CDH1 homdel;CDK12 homdel;CDKN1B homdel;CDKN2C homdel;CHEK2 homdel;CIC homdel;CNOT3 homdel;CYLD homdel;DAXX homdel;DDB2 homdel;DICER1 homdel;DNM2 homdel;DNMT3A homdel;EP300 homdel;ERCC2 homdel;ERCC3 homdel;EXT1 homdel;EXT2 homdel;EZH2 homdel;FANCA homdel;FANCC homdel;FANCD2 homdel;FANCE homdel;FANCF homdel;FANCG homdel;FBXO11 homdel;FBXW7 homdel;FH homdel;GRIN2A homdel;HNF1A homdel;IKZF1 homdel;KDM5C homdel;KDM6A homdel;KMT2C homdel;KMT2D homdel;MAP3K13 homdel;MEN1 homdel;MLH1 homdel;MSH2 homdel;MSH6 homdel;MUTYH homdel;NBN homdel;NCOR1 homdel;NF1 homdel;NF2 homdel;NFKBIE homdel;NOTCH1 homdel;NOTCH2 homdel;PALB2 homdel;PBRM1 homdel;PHF6 homdel;PHOX2B homdel;PMS2 homdel;PRF1 homdel;PTCH1 homdel;RB1 homdel;RECQL4 homdel;RNF43 homdel;SDHAF2 homdel;SDHB homdel;SDHC homdel;SDHD homdel;SETD2 homdel;SMAD4 homdel;SMARCA4 homdel;SMARCB1 homdel;SMARCD1 homdel;STAG2 homdel;STK11 homdel;TET2 homdel;TP53 homdel;TSC1 homdel;TSC2 homdel;VHL homdel;WAS homdel;WRN homdel;WT1 homdel;XPA homdel;XPC homdel;ZRSR2 homdel
7146.json,tumor_type=LUAD;dataset=TCGA;organ=Lung;lineage=Alveolar epithelium;cluster=CHROMOTHRIPSIS;NTRK3 mut;PIK3CA mut;RET mut;CCND2 amp;CDK6 amp;EGFR amp;MDM2 amp;MYC amp;MYCN amp;PIK3CA amp;RET amp;SOX2 amp;TP53 hetdel & mis;ARID1B homdel
7156.json,tumor_type=LUAD;dataset=TCGA;organ=Lung;lineage=Alveolar epithelium;cluster=CHROMOPLEXY;AKT2 mut;ERG mut;NUTM1 mut;ARID1A trunc;STK11 trunc;CDKN2A homdel
7158.json,tumor_type=LUAD;dataset=TCGA;organ=Lung;lineage=Alveolar epithelium;cluster=SPARSE;CREBBP mut;CTNNB1 mut;EGFR mut;KRAS mut;NTRK3 mut;PML mut;MDM4 amp;NTRK1 amp;RAD21 hetdel & mis
7169.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=QUIET;
DO234354.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=DM;CARD11 mut;AKT2 amp;BCL2 amp;BRD3 amp;BRD4 amp;CCND3 amp;CDK4 amp;EGFR amp;ERBB2 amp;ERBB3 amp;FGFR3 amp;FGFR4 amp;HRAS amp;MAP2K2 amp;MDM4 amp;MYC amp;MYCL amp;NOTCH1 amp;TERT amp;PHF6 homdel;STAG2 homdel
7180.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=SPARSE;
7233.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=CHROMOPLEXY;KMT2C trunc
7255.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=BFB;HIST1H4I mut;FGFR3 amp;MYC amp;CDKN2A trunc;TP53 trunc
7264.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=SPARSE;IDH1 mut;CIC hetdel & mis;FUBP1 hetdel & mis
728_T2_39_24265.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;ERBB3 mut;JAK1 mut;ROS1 mut;TET1 mut;CDKN2A trunc
728_T2_38_24268.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;ERBB2 mut;PAX7 mut;ARID1A trunc;CDKN2A trunc
728_T1_39_25162.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;CDKN2A trunc
728_T1_38_25165.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;MLLT6 mut;CDKN2A trunc
7281.json,tumor_type=LUAD;dataset=TCGA;organ=Lung;lineage=Alveolar epithelium;cluster=INVDUP;FOXO4 mut;IL21R mut;KRAS mut;MYH9 mut;MED12 amp;ERCC5 trunc;CDKN2A homdel
729_T1_34_23752.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;IL7R mut;CDKN2A homdel
729_T1_34_23755.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;CDKN2A homdel
729_T2_35_23758.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
729_T2_33_23761.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234299.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BFB;KRAS mut;APC trunc;TP53 trunc;CDKN2A hetdel & mis;MAP3K1 hetdel & mis;SMAD4 hetdel & mis;STK11 hetdel & mis
DO234382.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=TYFONAS;BRD3 amp;CCND1 amp;MDM2 amp;MYC amp;NOTCH1 amp;NTRK1 amp;APC trunc
7301.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=TRANSLOCATION;IDH1 mut;TP53 hetdel & mis
7304.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=TRANSLOCATION;IDH1 mut;ARID1A trunc
DO50320.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=CHROMOPLEXY;CTNNB1 mut;EWSR1 mut;SS18L1 mut;ESR1 amp;MYB amp;CDKN2A germline pathogenic;TP53 germline pathogenic;CDKN2A hetdel & mis;TP53 hetdel & mis
7382.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=QUIET;HRAS mut;PPP2R1A mut;STAT5B mut;HRAS amp
7385.json,tumor_type=HNSC;subtype=HNSC_hpv+;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=PYRGO;PIK3CA mut
7391.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=QUIET;
74_T1_33_23668.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=PYRGO;MED12 mut;CTNNB1 amp
74_T2_32_23677.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=PYRGO;MED12 mut;CTNNB1 amp
74_T1_31_24714.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=PYRGO;BRD4 mut;KAT6B mut;MED12 mut;CTNNB1 amp;ERBB2 amp;ARID1A trunc
74_T2_30_24717.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=PYRGO;MED12 mut;USP6 mut;CTNNB1 amp;MAP2K1 amp;NTRK3 amp
740_T1_36_24247.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=BRC;GATA2 mut;KIT mut;CDK6 amp;CTNNB1 amp;TP53 trunc
740_T1_33_24250.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=BRC;GATA2 mut;CDK6 amp;TP53 trunc
740_T2_35_24253.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=BRC;GATA2 mut;KIT mut;TET1 mut;CDK6 amp;TP53 trunc
740_T2_33_24256.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=BRC;GATA2 mut;TP53 trunc
7404.json,tumor_type=HNSC;subtype=HNSC_hpv+;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=PYRGO;BCL11A mut;PIK3CA mut
7416.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=BRD;TERT amp;PMS2 germline pathogenic;TP53 hetdel & mis
7432.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=BFB;CCND1 amp;TP53 trunc;BCOR homdel;KDM5C homdel;KDM6A homdel;WAS homdel;ZRSR2 homdel
DO234229.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=PYRGO;CCNE1 amp;CDK6 amp;FGFR1 amp;MDM4 amp;MYC amp;NTRK1 amp;NF2 hetdel & mis;TP53 hetdel & mis
7486.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=QUIET;IDH1 mut;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
7487.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=QUIET;IDH1 mut;FUBP1 trunc;CDKN2C hetdel & mis;CIC hetdel & mis
DO234363.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=PYRGO;ITK mut;MLF1 mut;NKX2-1 mut;RANBP2 mut;TET1 mut;CCNE1 amp;ERBB2 amp;ERBB3 amp;FGFR3 amp;MDM4 amp;MYB amp;NTRK1 amp;NTRK3 amp;PDGFRA amp;RB1 trunc;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
7522.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=QUIET;PTPRC mut
7545.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=BRC;SF3B1 mut;AKT2 amp;MYC amp;PIK3CA amp;SOX2 amp;TERT amp
7582.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=TRANSLOCATION;BRD4 mut;KIT mut;NFKB2 mut;ALK amp;CCND3 amp;MDM4 amp;MYC amp;MYCN amp;NTRK1 amp;PDGFB amp;PIK3CA amp;SOX2 amp;TERT amp;CDKN2A trunc;KDM6A homdel
DO234187.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=BRD;MED12 mut;MYO5A mut;NSD1 mut;CCND1 amp;NOTCH2 amp;NTRK1 amp;TP53 hetdel & mis
7602.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=QUIET;IDH1 mut;TP53 trunc
7643.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=TRANSLOCATION;FGFR3 amp
7675.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=RT;IDH1 mut;NOTCH2 mut;CDK4 amp;TP53 hetdel & mis
7689.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=QUIET;IDH1 mut;TP53 hetdel & mis
7695.json,tumor_type=LGG;dataset=TCGA;organ=Brain;lineage=Glial;cluster=SPARSE;IDH1 mut;CIC hetdel & mis;FUBP1 homdel
DO234427.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=INVDUP;CDK6 amp;MET amp;MYC amp;KMT2D trunc;TP53 hetdel & mis
772_T2_34_24568.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;ETV6 mut;NTRK3 mut;RET mut;TP53 hetdel & mis;CDKN2A homdel
772_T2_36_24571.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;ETV6 mut;NTRK3 mut;RET mut;ALK amp;TP53 hetdel & mis;CDKN2A homdel
772_T1_33_24574.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;ETV6 mut;RET mut;U2AF1 mut;ARID1A trunc
772_T1_35_24577.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;ETV6 mut;NTRK3 mut;RET mut;TP53 hetdel & mis
7722.json,tumor_type=STAD;dataset=TCGA;organ=Stomach;lineage=Gastric columnar epithelium;cluster=CHROMOPLEXY;ETV4 mut;RHOA mut;ARID1A trunc;SMAD4 hetdel & mis;CDKN2A homdel
7737.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=QUIET;
7740.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=QUIET;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
7744.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=CHROMOPLEXY;NCOR1 trunc;ATRX homdel;BCOR homdel;KDM6A homdel;PTEN homdel;STAG2 homdel;WAS homdel
7753.json,tumor_type=HNSC;subtype=HNSC_hpv-;dataset=TCGA;organ=Oropharynx;lineage=Oropharyngeal squamous epithelium;cluster=PYRGO;ERBB3 mut;USP6 mut;CCND1 amp;TERT amp;KDM6A trunc;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;SMAD4 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
7755.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=DM;BRAF mut;KAT6B mut;RHOA mut;EGFR amp;PIK3CA amp;SOX2 amp;FANCF trunc;KMT2D trunc;FBXW7 hetdel & mis;MAP2K4 hetdel & mis;NFE2L2 hetdel & mis
7767.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=INV;CCND2 amp;KRAS amp;MDM4 amp;NOTCH2 amp;NTRK1 amp;PIK3CA amp;SOX2 amp;MUTYH germline pathogenic;KDM6A hetdel & mis;TP53 hetdel & mis;CYLD homdel
779_T1_29_24082.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=BR;BRD3 mut;ARID1A trunc;CDKN2A trunc;KDM6A trunc
779_T1_25_24085.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=BR;ERBB2 amp;MAP2K1 amp;ARID1A trunc;CDKN2A trunc;KDM6A trunc;TP53 trunc
779_T2_31_24091.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=BR;FOXP1 mut;ERBB2 amp;ARID1A trunc;CDKN2A trunc;KDM6A trunc;TP53 trunc
779_T2_28_24094.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=BR;IL21R mut;ERBB2 amp;ARID1A trunc;CDKN2A trunc;KDM6A trunc;TP53 trunc
7791.json,tumor_type=PRAD;dataset=TCGA;organ=Prostate;lineage=Prostate epithelium;cluster=QUIET;BCL11B mut
DO234261.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=DM;ETV5 mut;CCND2 amp;CCND3 amp;CDK4 amp;CDK6 amp;ERBB2 amp;ERBB3 amp;FGFR4 amp;MDM2 amp;MYC amp;NTRK3 amp;TET1 amp;AMER1 homdel;ARID1A homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO10842.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BR;MYD88 mut;CCND1 amp;CCND3 amp;ERBB2 amp;FGFR1 amp;MYC amp;TERT amp;CDKN2A hetdel & mis;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
7806.json,tumor_type=STAD;dataset=TCGA;organ=Stomach;lineage=Gastric columnar epithelium;cluster=RT;MEN1 trunc;TP53 hetdel & mis
7812.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=DM;CBFA2T3 mut;KRAS mut;PIK3CA mut;SF3B1 mut;NTRK1 amp;TERT amp;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO50450.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=INVDUP;ESR1 mut;TET1 mut;AKT2 amp;CCNE1 amp;ERBB3 amp;MDM2 amp;MYC amp;TERT amp;CDKN2A homdel
DO234204.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=PYRGO;FOXO1 mut;KIT mut;KMT2A mut;PIK3CA mut;CCND3 amp;ERBB2 amp;MYC amp;CDKN2A trunc;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel
7943.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=PYRGO;CCND1 mut;FOXO1 mut;AKT2 amp;ALK amp;CCND3 amp;CCNE1 amp;CDK4 amp;ERBB2 amp;ERBB3 amp;FGFR1 amp;MYC amp;MYCN amp;PIK3CA amp;SOX2 amp;TP53 hetdel & mis;CDKN2A homdel
7998.json,tumor_type=STAD;dataset=TCGA;organ=Stomach;lineage=Gastric columnar epithelium;cluster=QUIET;BCL11B mut;IL7R mut;PIK3CA mut;JAK2 amp;ARID1A trunc
DO234451.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=DM;KRAS mut;NUP214 mut;BRAF amp;CDK6 amp;EGFR amp;ERBB2 amp;MET amp;ARID1B trunc;TP53 trunc;SMAD4 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234339.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=BRC;AKT1 amp;CCND1 amp;CCND3 amp;NRAS amp;TP53 hetdel & mis
DO234250.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=DM;NKX2-1 mut;NOTCH2 mut;PTPRC mut;MYC amp;TERT amp;APC trunc;TP53 trunc;BLM hetdel & mis
